Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,229,2/24/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,6,2/24/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,39,2/24/2025 15:00
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/24/2025 15:00
De Neve Residence Hall,DN,Deluxe Triple,Female,16,2/24/2025 15:00
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,3,2/24/2025 15:00
De Neve Residence Hall,DN,Deluxe Triple,Male,4,2/24/2025 15:00
Dykstra Hall,DYK,Classic Triple,Female,327,2/24/2025 15:00
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,26,2/24/2025 15:00
Dykstra Hall,DYK,Classic Triple,Male,198,2/24/2025 15:00
Hedrick Hall,HED,Classic Triple,Female,542,2/24/2025 15:00
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/24/2025 15:00
Hedrick Hall,HED,Classic Triple,Male,361,2/24/2025 15:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,119,2/24/2025 15:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,1,2/24/2025 15:00
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,0,2/24/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Female,28,2/24/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,12,2/24/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Male,0,2/24/2025 15:00
Olympic / Centennial,OC,Deluxe Triple,Non-Binary,0,2/24/2025 15:00
Rieber Hall,RIE,Classic Triple,Female,479,2/24/2025 15:00
Rieber Hall,RIE,Classic Triple,Gender Inclusive,45,2/24/2025 15:00
Rieber Hall,RIE,Classic Triple,Male,344,2/24/2025 15:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,0,2/24/2025 15:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,0,2/24/2025 15:00
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,0,2/24/2025 15:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,73,2/24/2025 15:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,25,2/24/2025 15:00
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,36,2/24/2025 15:00
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/24/2025 15:00
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/24/2025 15:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,143,2/24/2025 15:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,22,2/24/2025 15:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,124,2/24/2025 15:00
Rieber Vista,RV,Plaza Triple/Shared Bath,Non-Binary,3,2/24/2025 15:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,19,2/24/2025 15:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/24/2025 15:00
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,0,2/24/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Female,20,2/24/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,5,2/24/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Male,0,2/24/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Non-Binary,0,2/24/2025 15:00
Sproul Landing / Cove,SLC,Deluxe Triple,Other,0,2/24/2025 15:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,370,2/24/2025 15:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/24/2025 15:00
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,239,2/24/2025 15:00
Sproul Hall,SPR,Classic Triple,Female,259,2/24/2025 15:00
Sproul Hall,SPR,Classic Triple,Gender Inclusive,37,2/24/2025 15:00
Sproul Hall,SPR,Classic Triple,Male,174,2/24/2025 15:00
Sproul Hall,SPR,Classic Triple,Non-Binary,0,2/24/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Female,135,2/24/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,10,2/24/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Male,20,2/24/2025 15:00
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,2,2/24/2025 15:00
Sunset Village,SV,Plaza Triple/Shared Bath,Female,147,2/24/2025 15:00
