Building,Building Abbreviation,Room Type,Room Assignment Gender,Available Bed Spaces,Last Updated
De Neve Plaza,DEN,Plaza Triple/Private Bath,Female,696,2/19/2025 10:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Gender Inclusive,30,2/19/2025 10:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Male,421,2/19/2025 10:01
De Neve Plaza,DEN,Plaza Triple/Private Bath,Non-Binary,0,2/19/2025 10:01
De Neve Residence Hall,DN,Deluxe Triple,Female,252,2/19/2025 10:01
De Neve Residence Hall,DN,Deluxe Triple,Gender Inclusive,27,2/19/2025 10:01
De Neve Residence Hall,DN,Deluxe Triple,Male,122,2/19/2025 10:01
Dykstra Hall,DYK,Classic Triple,Female,455,2/19/2025 10:01
Dykstra Hall,DYK,Classic Triple,Gender Inclusive,36,2/19/2025 10:01
Dykstra Hall,DYK,Classic Triple,Male,260,2/19/2025 10:01
Hedrick Hall,HED,Classic Triple,Female,580,2/19/2025 10:01
Hedrick Hall,HED,Classic Triple,Gender Inclusive,48,2/19/2025 10:01
Hedrick Hall,HED,Classic Triple,Male,366,2/19/2025 10:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Female,263,2/19/2025 10:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Gender Inclusive,18,2/19/2025 10:01
Hitch Suites,HIT,Suite Triple/Shared Bath,Male,167,2/19/2025 10:01
Olympic / Centennial,OC,Deluxe Triple,Female,907,2/19/2025 10:01
Olympic / Centennial,OC,Deluxe Triple,Gender Inclusive,66,2/19/2025 10:01
Olympic / Centennial,OC,Deluxe Triple,Male,506,2/19/2025 10:01
Rieber Hall,RIE,Classic Triple,Female,554,2/19/2025 10:01
Rieber Hall,RIE,Classic Triple,Gender Inclusive,48,2/19/2025 10:01
Rieber Hall,RIE,Classic Triple,Male,377,2/19/2025 10:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Female,3,2/19/2025 10:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Male,6,2/19/2025 10:01
Rieber Terrace,RT,Plaza Triple/Private Bath,Non-Binary,1,2/19/2025 10:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Female,418,2/19/2025 10:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Gender Inclusive,36,2/19/2025 10:01
Rieber Terrace,RT,Plaza Triple/Shared Bath,Male,261,2/19/2025 10:01
Rieber Vista,RV,Plaza Triple/Private Bath,Female,0,2/19/2025 10:01
Rieber Vista,RV,Plaza Triple/Private Bath,Male,0,2/19/2025 10:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Female,380,2/19/2025 10:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Gender Inclusive,30,2/19/2025 10:01
Rieber Vista,RV,Plaza Triple/Shared Bath,Male,250,2/19/2025 10:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Female,221,2/19/2025 10:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Gender Inclusive,0,2/19/2025 10:01
Saxon Suites,SAX,Suite Triple/Shared Bath,Male,88,2/19/2025 10:01
Sproul Landing / Cove,SLC,Deluxe Triple,Female,457,2/19/2025 10:01
Sproul Landing / Cove,SLC,Deluxe Triple,Gender Inclusive,16,2/19/2025 10:01
Sproul Landing / Cove,SLC,Deluxe Triple,Male,256,2/19/2025 10:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Female,409,2/19/2025 10:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Gender Inclusive,30,2/19/2025 10:01
Hedrick Summit,SMT,Plaza Triple/Shared Bath,Male,251,2/19/2025 10:01
Sproul Hall,SPR,Classic Triple,Female,530,2/19/2025 10:01
Sproul Hall,SPR,Classic Triple,Gender Inclusive,38,2/19/2025 10:01
Sproul Hall,SPR,Classic Triple,Male,349,2/19/2025 10:01
Sunset Village,SV,Plaza Triple/Private Bath,Female,454,2/19/2025 10:01
Sunset Village,SV,Plaza Triple/Private Bath,Gender Inclusive,30,2/19/2025 10:01
Sunset Village,SV,Plaza Triple/Private Bath,Male,282,2/19/2025 10:01
Sunset Village,SV,Plaza Triple/Private Bath,Non-Binary,2,2/19/2025 10:01
Sunset Village,SV,Plaza Triple/Shared Bath,Female,437,2/19/2025 10:01
Sunset Village,SV,Plaza Triple/Shared Bath,Gender Inclusive,36,2/19/2025 10:01
Sunset Village,SV,Plaza Triple/Shared Bath,Male,278,2/19/2025 10:01
Gayley Court Apartments,GC,2 Bd/4 Person,Female,0,2/19/2025 10:01
Gayley Court Apartments,GC,2 Bd/4 Person,Gender Inclusive,0,2/19/2025 10:01
Gayley Court Apartments,GC,2 Bd/4 Person,Male,0,2/19/2025 10:01
Gayley Court Apartments,GC,2 Bd/4 Person,Non-Binary,2,2/19/2025 10:01
Gayley Heights,GH,1 Bd/3 Person,Female,0,2/19/2025 10:01
Gayley Heights,GH,1 Bd/3 Person,Gender Inclusive,0,2/19/2025 10:01
Gayley Heights,GH,1 Bd/3 Person,Male,0,2/19/2025 10:01
Gayley Heights,GH,2 Bd/5 Person-Double,Female,0,2/19/2025 10:01
Gayley Heights,GH,2 Bd/5 Person-Double,Male,0,2/19/2025 10:01
Gayley Heights,GH,2 Bd/5 Person-Triple,Female,0,2/19/2025 10:01
Gayley Heights,GH,2 Bd/5 Person-Triple,Male,0,2/19/2025 10:01
Gayley Heights,GH,2 Bd/6 Person,Female,0,2/19/2025 10:01
Gayley Heights,GH,2 Bd/6 Person,Gender Inclusive,0,2/19/2025 10:01
Gayley Heights,GH,2 Bd/6 Person,Male,4,2/19/2025 10:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Female,2,2/19/2025 10:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Gender Inclusive,0,2/19/2025 10:01
Gayley Heights,GH,2 Bd/7 Person-Quad,Male,13,2/19/2025 10:01
Gayley Heights,GH,2 Bd/7 Person-Triple,Female,0,2/19/2025 10:01
